FirstLayer_tool_speed_factor_1,FirstLayer_tool_speed_factor_2,playerName,U2PostScoreLevel
203,9,0,0
181,94,1,1
13,192,2,0
109,178,2,0
254,228,3,0
185,36,247,1
319,194,4,1
35,182,5,1
273,193,6,0
238,156,7,0
211,221,8,0
110,184,8,0
269,277,9,0
18,197,10,1
230,10,11,0
21,123,12,0
282,118,13,1
217,174,14,1
310,130,15,1
123,46,16,1
302,147,17,1
316,14,18,0
46,243,19,1
245,165,20,1
219,248,248,1
108,167,249,1
280,28,250,1
290,8,251,1
61,227,21,0
209,115,22,0
165,164,23,0
14,201,24,0
83,16,25,1
252,72,26,0
158,133,27,0
120,143,28,0
78,234,29,0
237,320,30,0
299,309,30,0
162,98,31,1
47,295,32,0
27,205,33,1
16,233,252,0
205,99,34,0
309,63,253,1
1,180,35,1
96,68,254,1
267,97,36,0
28,57,37,1
92,299,38,0
157,129,38,0
89,190,39,0
233,262,255,0
200,122,256,0
97,106,40,0
23,289,41,0
289,283,42,1
193,160,43,1
2,54,44,0
239,253,257,1
91,78,45,0
138,213,46,1
240,112,258,0
53,266,258,0
115,170,47,1
107,137,47,1
118,261,47,1
36,196,48,1
66,37,49,0
192,279,49,0
127,183,50,0
285,235,51,1
4,187,51,1
8,294,52,0
232,241,53,1
94,172,54,0
121,251,55,1
69,152,259,0
164,290,56,0
272,188,57,0
278,19,58,0
113,199,59,1
132,87,260,0
295,27,60,0
261,265,61,0
271,104,62,0
248,275,63,1
155,83,64,0
100,142,65,1
81,88,66,0
214,222,67,0
227,82,68,0
67,185,69,1
276,215,70,0
178,22,70,0
5,32,71,0
32,75,72,1
114,158,261,0
297,236,73,0
119,244,74,0
250,29,75,0
168,268,76,1
197,319,76,1
149,260,262,1
159,114,77,0
10,200,78,1
77,47,79,1
30,225,80,1
43,316,81,0
95,249,81,0
126,310,82,1
122,23,82,1
236,212,83,1
49,271,84,0
288,288,85,0
259,45,86,1
131,269,263,0
188,96,87,0
6,31,88,0
183,145,89,0
163,61,90,1
317,53,91,0
304,100,91,0
210,18,92,1
33,240,93,0
117,154,94,0
298,155,95,1
48,136,96,0
41,282,97,0
19,52,98,0
275,5,99,1
0,70,100,0
208,67,101,1
56,44,102,0
25,148,103,0
268,4,104,1
167,109,104,1
29,121,105,1
22,191,264,1
256,301,106,0
20,69,107,1
301,120,108,1
246,15,109,1
71,175,265,1
24,20,110,0
196,119,111,0
86,246,112,0
93,51,113,1
187,186,114,0
247,263,114,0
190,56,115,0
74,245,116,1
134,34,266,1
251,24,117,0
198,210,118,1
156,302,119,1
226,58,119,1
87,91,120,0
291,220,121,1
235,255,122,1
175,313,123,1
72,198,124,1
249,107,125,0
160,149,126,1
195,264,127,0
287,308,128,0
283,307,129,0
173,86,130,1
31,211,131,1
84,231,132,0
44,306,133,0
111,105,267,0
166,132,268,1
145,195,134,1
311,128,135,1
202,41,136,0
34,166,137,1
241,318,137,1
17,43,138,1
224,71,139,1
320,140,140,1
62,60,141,1
207,49,142,0
106,66,143,0
12,102,143,0
305,77,144,1
264,257,145,0
141,304,145,0
150,111,146,1
140,90,147,0
199,108,269,1
129,163,148,0
229,84,149,0
85,64,150,0
59,291,151,1
215,238,152,0
152,293,153,0
130,242,270,0
70,267,154,1
194,223,155,0
221,218,156,1
11,280,157,0
40,250,158,0
177,92,158,0
112,203,159,1
143,159,160,1
128,59,161,0
58,85,162,0
57,312,163,0
234,217,163,0
79,7,164,0
314,162,165,1
133,2,271,0
116,206,272,0
73,189,273,1
206,125,274,0
101,270,275,0
274,157,166,0
76,314,167,0
300,315,168,0
257,276,169,1
174,50,170,1
191,13,171,1
45,209,172,0
218,179,173,0
263,131,175,0
225,33,174,0
82,303,176,0
39,74,177,0
124,6,177,0
105,284,178,1
148,254,179,0
184,258,180,0
312,1,181,1
154,296,181,1
315,55,182,1
318,151,183,0
176,146,184,1
307,219,185,0
296,40,186,0
277,259,187,0
153,138,188,0
125,135,189,0
142,76,276,0
265,224,190,1
293,139,191,0
146,3,192,0
60,181,193,1
308,274,194,0
144,305,194,0
294,17,195,1
64,171,196,1
179,169,277,1
99,113,197,0
102,278,198,0
201,127,199,0
65,286,199,0
54,93,200,0
80,117,201,0
228,214,278,1
279,300,202,0
286,204,202,0
52,116,203,0
9,239,203,0
51,0,204,1
313,95,279,1
212,124,205,0
253,297,206,0
260,292,207,0
3,281,207,0
104,134,208,1
170,168,209,0
147,177,210,0
292,173,211,1
222,103,280,1
88,216,281,1
26,247,212,0
244,21,282,1
161,48,213,1
135,110,214,0
171,79,215,0
220,39,216,1
50,30,217,0
90,42,218,1
216,287,219,1
7,252,220,1
37,26,283,1
281,226,284,1
303,161,221,0
189,232,285,1
38,81,222,1
284,126,223,1
136,207,224,1
98,176,286,1
231,65,225,0
213,62,226,1
242,285,227,0
182,89,228,0
63,230,229,0
151,237,287,1
262,273,230,0
68,11,231,1
42,153,232,1
75,208,233,0
169,317,234,0
258,272,234,0
15,150,235,1
204,202,236,0
243,25,237,0
266,80,238,0
55,229,239,1
223,73,240,0
186,298,240,0
255,35,241,0
137,144,242,1
103,311,288,1
139,38,243,1
270,256,244,0
180,141,245,0
172,101,246,0
306,12,289,1
