"playerName","share_Map.CREi.Size","share_Map.PB_PlayerRoom.Size","share_Map.PB_PlayerRoom.Player_Base.Size","share_Map.Player_Base.Size","share_Map.Player_Base.PB_PlayerRoom.Size","share_Map.Player_Base.U3.Size","share_Map.U1.U1_Quest.Size","share_Map.U2.U2_Collectibles.U2_Quests.Size","share_Map.U2.U2_Collectibles.U2_Quests.U2_LeftWaterfall.Size","share_Map.U2.U2_Collectibles.U2_Quests.U2_RightWaterfall.Size","share_Map.U3.U3_Collectibles.Size","share_Map.U3.U3_Collectibles.U3_Quests.Size","share_Map.U3.U3_Collectibles.U3_Quests.U3_RiverSpline.Size","share_Map.U3_Dungeon_Side_Quest.Size","share_Map.U4.U4_Collectibles.U4_Quests.Size","share_Map.U4.U4_Collectibles.U4_Quests.U4_AlienRuins.Size","share_Map.U4.U4_Collectibles.U4_Quests.U4_MilitaryBase.Size","share_Map.U4.U4_Collectibles.U4_Quests.U4_MilitaryBase.U4_AlienRuins.Size","share_Map.U4_Bunker.U4_Bunker_Quests.Size","share_Map.U4_DrillRoomV2.U4_DrillRoomV2_Quests.Size","share_Map.U4_Dungeon.U4_Dungeon_Quests.Size","share_Map.U5.U5_Quests.Size","share_Map.U5.U5_Quests.U5_Cavern.Size","share_Map.U5_Cave.Size","share_Map.U5_Cave.U5_Cave_Quests.U5_Cave_Collectibles.Size","share_Map.U5_Cavern.U5_Cavern_Quests.Size","share_Map.U5_Cavern.U5_Cavern_Quests.U5.Size","share_Map.U5_Dungeon.Size","share_Map.U5_Largemart_Factory.U5_Largemart_Factory_Quests.Size","share_Map.U6_Dungeon.Size","share_Map.U6_Moon.U6_Moon_Quest.U6_MoonBase.Size","share_Map.U3.Size","share_Map.U3.U3_Collectibles.U3_Quests.U3_RiverSpline.U3_Dungeon_Side_Quest.Size","share_Map.U2.U2_Collectibles.Size"
"JG1 UX1",3.51819082702521e-07,1.69829064379204e-09,2.11091846123594e-13,0.0210723501138348,2.71763779806108e-12,1.36484876145043e-08,6.88350767489354e-05,0.218931003504191,0.0123552711046869,0.00961719714106227,0.0237668366462499,0.0250440106730541,0.248917909344243,0.000305197895189691,0.209076928586827,0.00382255461573753,0.202728881093358,0.00301224436065984,0.000215553819164628,8.98698250909258e-07,0.00273250413765079,0.016292085861338,5.75528559593336e-09,8.16280886404967e-10,3.09170261942008e-06,0.0007540420531713,1.77318457116784e-06,0.00105750298111992,1.14835199108256e-05,0.000133893269448296,7.7576876554654e-05,0,0,0
"JG2 UX2",1.30079516647827e-07,6.05267762759468e-07,4.28056895061393e-16,0.00481515188377553,0,0,5.2143052246601e-05,0.227155454944227,0.038040533463633,0.00818572341393336,0.0222224207228751,0.0225016598116904,0.219041063561695,0.000230353377881291,0.206311848816141,0.0053032937686285,0.19738473818651,0.00439580985067435,0.000177818232252428,4.85317210454058e-06,0.00242766859182009,0.0180966699887453,1.02806228767429e-08,0,2.63346224050352e-06,0.000737624691948158,1.59575382179123e-06,0.00101132638514971,1.01700940216163e-05,0.000145273608938433,0.00026666712814074,0.0214767565412091,1.86779328438104e-09,0
"JG3 UX3",7.78205161184054e-08,3.6239169122147e-09,8.35702325289248e-13,0.00587373325486248,1.67082826926504e-13,1.51206009520372e-13,4.52593472570483e-05,0.212070195086598,0.0270517848158484,0.0115964772024359,0.024300551532339,0.0258399683476217,0.248651932952177,0.00025858372251431,0.215269013436424,0.00429224381745778,0.198474853750079,0.00351318828525049,0.000248317265442623,9.81232889700707e-07,0.0027672960704832,0.0171087103799139,4.84806234759845e-08,0,2.14105816831742e-06,0.000926119251437419,1.059337015903e-07,0.0012701464868181,1.28877552953787e-05,0.000173142932352037,0.000252236156421539,0,0,0
"JG4 UX4",5.67102354188212e-06,2.83214542379372e-07,0,0.00300033963987828,0,0,3.62367386664126e-05,0.171499564844368,0.0528735876436093,0.0152748658574323,0,0,0.109793362798017,0.000147935374713922,0.489510810060749,0.0113539368289972,0.144737591163297,6.54851913159522e-05,0.000140038763275824,4.97868424456697e-07,0.00155979298917025,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG5 UX5",1.6863250381238e-07,0,0,0.00265749357725325,0,0,5.35974492032358e-05,0.902590507115363,0.0752884732502309,0.0194097599754457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JG6 UX6",1.85219335075714e-07,2.55963231254088e-09,4.82612228188969e-14,0.00750721243159454,0,0,8.03255503674782e-05,0.286495272742717,0.0247847157445244,0.0131845413881309,0.033133071872635,0.034613790704079,0.2499879623887,0.000328909403003329,0.136148346831731,0.00935798183499533,0.136811717281005,0.00588545749599881,0.000270667713901467,1.44490982352974e-06,0.0038077840471615,0.0227027854188347,7.8610643317783e-10,0,1.21941584479557e-06,0.00102194455977219,9.7569041536128e-08,0.00162966423646318,1.48519789003477e-05,9.64585459647143e-05,0.000175827283783875,0.0319577600859038,0,0
"JG7 UX7",2.15766110516676e-06,5.33466705885215e-09,3.0279138149425e-13,0.00914117179358504,1.16817963691646e-12,1.67083410623709e-12,8.44612551179007e-05,0.300884373046853,0.0293713986163718,0.0207503020561103,0.0376425978322564,0.0396654227024051,0.350224953329803,0.000399253702869114,0.103424311889297,0.0018736801084463,0.0166828338043493,0,0,0,0,0.0865702058558037,1.06877321436974e-09,0,1.85642051817598e-06,0.00118394764723549,1.29472728340709e-07,0.00169163634047045,1.76408523299826e-05,0.000207504952208026,0.000180154253555382,0,0,0
"JG8 UX8",5.30443629504846e-08,3.42903651915652e-10,7.30081289422911e-14,0.00535318113448109,0,0,5.60682363611231e-05,0.389309201406867,0.00968148829096743,0.013195873053542,0,0.0252868198283463,0.241042132147277,0.000199750690088509,0.106188946322376,0.00629162588330496,0.148138129041176,0.0013713582693119,0.000212588651466208,9.05945091623895e-07,0.00265512106396498,0.0169430639011998,8.06147724262662e-09,0,8.87467672477537e-07,0.000764858872341044,8.44714278779598e-08,0.00107253207314639,1.26220801729334e-05,0.000151741359593014,0.000434639590944403,0,0,0.0316363187700628
"JG9 UX9",4.1926389118849e-07,4.29235496878242e-07,8.77596517052826e-14,0.00584623069705187,0,2.66659348561565e-15,0.000100348773004331,0.213802594563252,0.0775125357698658,0.0165164884843184,0.0241874476343787,0.0256275328375787,0.210757162181109,0.000287133335724273,0.194748736248652,0.00344520101570796,0.199615352444323,0.00454853535354906,0.000219022223291909,8.63619192797019e-07,0.00281441713703338,0.0178870877952315,4.2965422485238e-10,0,1.58839116686274e-06,0.000759883271685389,9.17345010633978e-08,0.00110602359844912,1.35376542850689e-05,0.00013057575727336,7.07605502417679e-05,0,0,0
